Name;IATA;ICAO;Callsign;Country
Aero Ejecutivos;;VEJ;VENEJECUTIV;Venezuela
Aero Ejecutivos RCG;;ECG;EJECTUIVOS RCG;Mexico
Aero Empresa Mexicana;;AFO;AERO EMPRESA;Mexico
Aero Empresarial;;EPE;AEROEMPRESARIAL;Mexico
Aero Entreprise;;AON;AERO ENTERPRISE;France
Aero Ermes;;EOM;AERO ERMES;Mexico
Aero Express Intercontinental;;XSS;INTER EXPRESS;Mexico
Aero Fenix;;FNX;AERO FENIX;France
Aero Flight;GV;ARF;Aero Fox;Germany
Aero Flight Service;;AGY;FLIGHT GROUP;United States
Aero Freight;;FGT;FREIAERO;Mexico
Aero Gambia;;AGW;AERO GAMBIA;Gambia
Aero Gen;;ROH;AEROGEN;Mexico
Aero Homex;;HOM;AERO HOMEX;Mexico
Aero Industries Inc;;WAB;WABASH;United States
Aero International;;INA;AERO-NACIONAL;Mexico
Aero JBR;;AJB;AERO JBR;Mexico
Aero Jet Express;;AJE;JET EXPRESS;Mexico
Aero Jets Corporativos;;AJP;AEROJETS;Mexico
Aero Jomacha;;MHC;AERO JOMACHA;Mexico
Aero Juarez;;JUA;JUAREZ;Mexico
Aero Lanka;QL;RLN;AERO LANKA;Sri Lanka
Aero Lider;;LDR;AEROLIDER;Mexico
Aero Link Air Services S.L.;;ARK;LINK SERVICE;Spain
Aero Lloyd (YP);YP;AEF;;Germany
Aero Madrid;;AEM;AEROMADRID;Spain
Aero McFly;;MFL;MCFLY;Mexico
Aero Modelo;;DLS;AEROMODELO;Mexico
Aero Mongolia;M0;MNG;AERO MONGOLIA;Mongolia
Aero Norte;;NTD;;Mexico
Aero Nova;;OVA;AERONOVA;Spain
Aero Personal;;PNL;AEROPERSONAL;Mexico
Aero Premier De Mexico;;MIE;AEROPREMIER;Mexico
Aero Quimmco;;QUI;QUIMMCO;Mexico
Aero Rent JSC;;NRO;AEROMASTER;Russia
Aero Renta De Coahuila;;RCO;AEROCOAHUILA;Mexico
Aero Roca;;RRC;AEROROCA;Mexico
Aero Sami;;SMI;SAMI;Mexico
Aero Services;;BAS;AEROSERV;Barbados
Aero Services Executive;W4;BES;BIRD EXPRESS;France
Aero Servicio Corporativo;;SRV;SERVICORP;Mexico
Aero Servicio Pity;;PTD;PITY;Mexico
Aero Servicios;;RVI;AERO SERVICIOS;Mexico
Aero Servicios Azteca;;TED;AEROAZTECA;Mexico
Aero Servicios de Nuevo Laredo;;NEL;AEROLAREDO;Mexico
Aero Servicios Ejecutivas Del Pacifico;;SEF;SERVIPACIFICO;Mexico
Aero Servicios Ejecutivos Internacionales;;SII;ASEISA;Mexico
Aero Servicios Empresariales;;EMS;SERVIEMPRESARIAL;Mexico
Aero Servicios Expecializados;;SVE;AEROESPECIAL;Mexico
Aero Servicios Platinum;;PNU;AERO PLATINUM;Mexico
Aero Servicios Regiomontanos;;ERI;ASERGIO;Mexico
Aero Servicios Vanguardia;;VNG;VANGUARDIA;Mexico
Aero Siete;;ETE;AEROSIETE;Mexico
Aero Silza;;SIZ;AEROSILZA;Mexico
Aero Slovakia;;ASO;AERO NITRA;Slovakia
Aero Soga;;SOG;AEROSOGA;Guinea-Bissau
Aero Sudpacifico;;SDP;SUDPACIFICO;Mexico
Aero Survey;;IKM;GHANA SURVEY;Ghana
Aero Tanala;;TON;AEROTANALA;Mexico
Aero Taxi;;QAT;AIR QUASAR;Canada
Aero Taxi Autlan;;TLD;AEREO AUTLAN;Mexico
Aero Taxi Aviation;;QKC;QUAKER CITY;United States
Aero Taxi de Los Cabos;;TBO;AERO CABOS;Mexico
Aero Taxi del Centro de Mexico;;TME;TAXICENTRO;Mexico
Aero Taxi del Potosi;;TPO;TAXI-POTOSI;Mexico
Aero Taxi Los Valles;;VAD;VALLES;Spain
Aero Taxis Cessna;;TND;TAXIS CESSNA;Mexico
Aero Taxis Y Servicios Alfe;;FES;AERO ALFE;Mexico
Aero Toluca Internactional;;TLU;AEROTOLUCA;Mexico
Aero Tomza;;TZA;AERO TOMZA;Mexico
Aero Trades (Western) Ltd.;;ATW;AERO TRADES;Canada
Aero Transporte S.A. (ATSA);;AMP;ATSA;Peru
Aero Transportes Del Humaya;;HUY;AERO HUMAYA;Mexico
Aero Transportes Empresariales;;EPL;EMPRESARIALES;Mexico
Aero Tropical;;TPB;AERO TROPICAL;Angola
Aero Util;;TLE;AEROUTIL;Mexico
Aero Vics;;ARI;AEROVICS;Mexico
Aero Vilamoura;;VMR;AERO VILAMOURA;Portugal
Aero VIP;2D;AOG;AVIP;Argentina
Aero VIP (2D);2D;\N;;Portugal
Aero Virel;;VLS;VIREL;Mexico
Aero Vision;;AOV;AEROVISION;France
Aero Vodochody;;AOD;AERO CZECH;Czech Republic
Aero Yaqui Mayo;;MYS;AERO YAQUI;Mexico
Aero Zambia;;RZL;AERO ZAMBIA;Zambia
Aero Zano;;RZN;ZANO;Mexico
Aeroalas Colombia;;ALE;AEROALAS;Colombia
Aeroatlantico Colombia;;AOK;;Colombia
Aeroatlas;;AQA; S.A.;ATCO
Aerobanana;;OBA;AEROBANANA;Mexico
Aerobona;;BOC;AEROBONA;Mexico
Aerobusinessservice;;LSM;;Russia
Aerocardal;;CDA;CARDAL;Chile
Aerocenter;;ACR; Escuela de Formacion de Pioltos Privados de Avion;AEROCENTER
Aerocentral;;ATL;CENTRALMEX;Mexico
Aerocer;;RCE;AEROCER;Mexico
Aerocesar;;AEC; Aerovias Del Cesar;AEROCESAR
Aerochago Airlines;;AHG;AEROCHAGO;Dominican Republic
Aerocharter;;MRM;MARITIME;Canada
Aero-Charter Ukraine;DW;UCR;CHARTER UKRAINE;Ukraine
Aerocheyenne;;CYE;AEROCHEYENNE;Mexico
Aerochiapas;;AHP;AEROCHIAPAS;Mexico
Aeroclub Flaps;;FLP;AEROCLUB FLAPS;Spain
Aerocon;;AEK;AEROCON;Bolivia
Aerocondor;2B;ARD;AEROCONDOR;Portugal
Aerocontinente (Priv);N6;\N;;Peru
Aerocorp;;ORP;CORPSA;Mexico
Aerocorp;;RCP;AEROCORPSA;Mexico
Aerocozumel;;AZM;AEROCOZUMEL;Mexico
Aerocuahonte;;CUO;CUAHONTE;Mexico
Aerodan;;ROD;AERODAN;Mexico
Aerodata Flight Inspection;;FII;FLIGHT CHECKER;Germany
Aerodespachos De El Salvador;;DNA;AERODESPACHOS;El Salvador
Aerodienst GmbH;;ADN;AERODIENST;Germany
Aerodin;;DIN;AERODIN;Mexico
Aerodinamica de Monterrey;;DMC;DINAMICAMONT;Mexico
Aerodiplomatic;;ADP;AERODIPLOMATIC;Mexico
Aerodromo De La Mancha;;MAM;AEROMAN;Spain
Aerodynamics Incorporated;;DNJ;DYNAJET;United States
Aerodyne;;ADY;AERODYNE;United States
Aerodyne Charter Company;;AQZ;QUANZA;United States
Aeroejecutiva Nieto;;NIE;AERONIETO;Mexico
Aeroejecutivo;;AJO;AEROEXO;Mexico
Aeroejecutivos Colombia;;AJS;AEROEJECUTIVOS;Colombia
Aeroel Airways;;ROL;AEROEL;Israel
Aeroenlaces Nacionales;;VIV;AEROENLACES;Mexico
Aeroenlaces Nacionales;;AEN;;Mexico
Aeroeste;;ROE;ESTE-BOLIVIA;Bolivia
Aeroexpreso Interamericano;;AEI;INTERAM;Colombia
Aerofan;;CFF;AEROFAN;Spain
Aeroferinco;;FEO;FERINCO;Mexico
Aeroflot Russian Airlines;SU;AFL;AEROFLOT;Russia
Aeroflota Del Noroeste;;FNO;RIAZOR;Spain
Aeroflot-Cargo;;RCF;AEROFLOT-CARGO;Russia
Aeroflot-Don;D9;DNV;DONAVIA;Russia
Aeroflot-Nord;5N;AUL;DVINA;Russia
Aerofreight Airlines;;FRT;;Russia
Aerofrisco;;FCO;AEROFRISCO;Mexico
Aerofumigaciones Sam;;AEG;FUMIGACIONES SAM;Chile
Aerogala;;AGQ;GALASERVICE;Chile
Aerogaucho;;GAU;AEROGAUCHO;Uruguay
Aerogem Cargo;;GCK;AEROGEM;Ghana
Aerogisa;;OGI;AEROGISA;Mexico
Aerogroup 98 Limited;;RWY;TYNWALD;United Kingdom
Aerohein;;HEI;AEROHEIN;Chile
Aeroingenieria;;ING;AEROINGE;Chile
Aeroitalia;;ROO;AEROITALIA;Italy
Aerojal;;JAD;AEROJAL;Mexico
Aerojet de Costa Rica;;ARJ; S.A.;
Aerojobeni;;JOB;JOBENI;Mexico
Aerokaluz;;KLZ;AEROKALUZ;Mexico
Aero-Kamov;;MSV;AERAFKAM;Russia
Aerokuzbass;;NKZ;NOVOKUZNETSK;Russia
Aerol;;MSO;MESO AMERICANAS;Mexico
Aerol;;ANQ;ANTIOQUIA;Colombia
Aerolaguna;;LGN;AEROLAGUNA;Mexico
Aeroland Airways;3S;;;Greece
Aerolane;XL;LNE;LAN ECUADOR;Ecuador
Aerolift Company;;LFT;LIFTCO;Sierra Leone
Aerolima;;LMA;AEROLIMA;Mexico
Aeroline GmbH;7E;AWU;SYLT-AIR;Germany
Aerolinea Muri;;MUR;MURI;Mexico
Aerolineas Aereas Ejecutivas De Durango;;LDG;DURANGO;Mexico
Aerolineas Africanas;;AA1;;Guinea
Aerolineas Amanecer;;MNE;AEROAMANECER;Mexico
Aerolineas Argentinas;AR;ARG;ARGENTINA;Argentina
Aerolineas Bonanza;;BNZ;AERO BONANZA;Mexico
Aerolineas Chihuahua;;PFI;PACIFICO CHIHUAHUA;Mexico
Aerolineas Comerciales;;ECM;AERO COMERCIALES;Mexico
Aerolineas De El Salvador;;SZA;AESA;El Salvador
Aerolineas De Morelia;;MOR;AEROMORELIA;Mexico
Aerolineas Del Pacifico;;RPC;AEROPACSA;Ecuador
Aerolineas Del Sur;;DLU;DEL SUR;Chile
Aerolineas Del Sureste;;SUE;AEROSURESTE;Mexico
Aerolineas Dominicanas;;ADM;DOMINAIR;Dominican Republic
Aerolineas Ejecutivas;;LET;MEXEJECUTIV;Mexico
Aerolineas Ejecutivas Del Sureste;;ESU;ALESUR;Mexico
Aerolineas Ejecutivas Tarascas;;RSC;TARASCAS;Mexico
Aerolineas Galapagos (Aerogal);2K;GLG;AEROGAL;Ecuador
Aerolineas heredas santa maria;;SZB;;Dominican Republic
Aerolineas Internacionales;;LNT;LINEAINT;Mexico
Aerolineas Marcos;;MCO;MARCOS;Mexico
Aerolineas Medellin;;AMD;AEROLINEAS MEDELLIN;Colombia
Aerolineas Mexicanas J S;;LMX;LINEAS MEXICANAS;Mexico
Aerolineas Nacionales Del Ecuador;;EDA;ANDES;Ecuador
Aerolineas Olve;;OLV;OLVE;Mexico
Aerolineas Pacifico Atlantico;;APP; S.A. (Apair);AEROPERLAS
Aerolineas Regionales;;RCQ;REGIONAL CARGO;Mexico
Aerolineas Sol;;SOD;ALSOL;Mexico
Aerolineas Sosa;;NSO;SOSA;Honduras
Aerolineas Turisticas del Caribe;;TTB;AERO TURISTICAS;Mexico
Aerolineas Uruguayas;;AUY; S.A.;AUSA
Aerolineas Villaverde;;VLR;VILLAVERDE;Mexico
Aerolitoral;5D;SLI;COSTERA;Mexico
Aerologic;;LDL;;Russia
AeroMéxico;AM;AMX;AEROMEXICO;Mexico
Aeromaan;;ERM;EOMAAN;Mexico
Aeromagar;;MGS;AEROMAGAR;Mexico
Aeromar;BQ;ROM;BRAVO QUEBEC;Dominican Republic
Aeromar;VW;TAO;TRANS-AEROMAR;Mexico
Aeromarket Express;;ARM;AMEX;Spain
Aeromas;;MSM;AEROMAS EXPRESS;Uruguay
Aeromax;;AXP;AEROMAX SPAIN;Spain
Aeromedica;;DIC;AEROMEDICA;Mexico
Aeromedicare Ltd.;;AMQ;LIFELINE;United Kingdom
Aeromega;;OMG;OMEGA;United Kingdom
Aeromet Linea Aerea;;MTE;AEROMET;Chile
Aeromet Servicios;;ARS;METSERVICE;Chile
Aeromexhaga;;AXH;AEROMEXHAGA;Mexico
Aeromexpress;QO;MPX;AEROMEXPRESS;Mexico
Aeromilenio;;MNI;AEROMIL;Mexico
Aeromist-Kharkiv;HT;AHW;AEROMIST;Ukraine
Aeromorelos;;MRL;AEROMORELOS;Mexico
Aeromover;;OVE;AEROMOVER;Mexico
Aeromundo Ejecutivo;;MUN;AEROMUNDO;Mexico
Aeron International Airlines;;AXI; Inc.;AIR FREIGHTER
Aeronautica;;GGL;GIRA GLOBO;Angola
Aeronautica Castellana;;ECL;AERO CASTELLANA;Spain
Aeronautica Le Esperanza;;ESZ;ESPERANZA;Mexico
Aeronautica Militare;;IAM;Italian Airforce;Italy
Aeronautical Academy of Europe;;EVR;DIANA;Portugal
Aeronautical Radio Inc;;XAA;;United States
Aeronautical Radio of Thailand;;AET;AEROTHAI;Thailand
Aeronaves Del Centro;;AGA;;Venezuela
Aeronaves Del Noreste;;DRO;AERONORESTE;Mexico
Aeronaves Del Noroeste;;ENW;AERONOR;Spain
Aeronaves TSM;;VTM;AERONAVES TSM;Mexico
Aeronavigaciya;;KTN;AERONAVIGACIYA;Ukraine
Aeronem Air Cargo;;RNM;AEROMNEM;Ecuador
Aeroni;;NID;AERONI;Mexico
Aeronor;;GCF;AEROCARTO;Spain
Aeronord-Grup;;NRP;AERONORD;Moldova
Aeronorte;;RTE;LUZAVIA;Portugal
Aero-North Aviation Services;;SKP;SKIPPER;Canada
Aeropac;;STK;SAT PAK;United States
Aeropelican Air Services;OT;PEL;PELICAN;Australia
Aeroper;PL;PLI;Aeroperu;Peru
Aeropiloto;;AOP;AEROPILOTO;Portugal
Aeropostal Cargo de Mexico;;PCG;POSTAL CARGO;Mexico
Aeropro;;APO;AEROPRO;Canada
Aeropublicitaria De Angola;;MOP;PUBLICITARIA;Angola
Aeropuelche;;PUE;PUELCHE;Chile
Aeropuma;;APU; S.A.;AEROPUMA
Aeroput;;PUT;;Serbia
Aeroputul International Marculesti;;AMM;AEROM;Moldova
Aeropycsa;;PYC;AEROPYCSA;Mexico
Aero-Pyrenees;;EAP;AERO-PYRENEES;France
Aero-Rent;;REN;AERORENT;Mexico
AeroRep;P5;RPB;AEROREPUBLICA;Colombia
Aero-Rey;;REY;AEROREY;Mexico
Aerosaab;;SBH;AEROSAAB;Mexico
Aerosaba;;ESB;AEROSABA;Mexico
Aerosafin;;FIC;AEROSAFIN;Mexico
Aerosan;;OSN;AEROSAN;Mexico
Aerosec;;ERK;AEROSEC;Chile
Aerosegovia;;SGV;SEGOVIA;Nicaragua
Aeroserivios Del Bajio;;RBJ;AEROBAJIO;Mexico
Aero-Service;BF;RSR;CONGOSERV;Republic of the Congo
Aeroservices Corporate;;CJE;BIRD JET;France
Aeroservicio Sipse;;PSE;SIPSE;Mexico
Aeroservicios California Pacifico;;PIF;AEROCALPA;Mexico
Aeroservicios Corporativos De San Luis;;PSL;CORSAN;Mexico
Aeroservicios de La Costa;;TAA;AERO COSTA;Mexico
Aeroservicios De Nuevo Leon;;NUL;SERVICIOS NUEVOLEON;Mexico
Aeroservicios De San Luis;;SUO;SERVICIO SANLUIS;Mexico
Aeroservicios Dinamicos;;DMI;AERODINAMICO;Mexico
Aeroservicios Ecuatorianos;;EAE;AECA;Ecuador
Aeroservicios Ejecutivos Corporativos;;EJP;EJECCORPORATIVOS;Mexico
Aeroservicios Ejecutivos Del Occidente;;AEO;AERO OCCIDENTE;Mexico
Aeroservicios Ejecutivos Del Pacifico;;SPO;EJECTUIV PACIFICO;Mexico
Aeroservicios Gama;;GMS;SERVICIOS GAMA;Mexico
Aeroservicios Intergrados de Norte;;INO;INTENOR;Mexico
Aeroservicios Jet;;RJS;ASERJET;Mexico
Aeroservicios Monterrey;;SVM;SERVIMONTE;Mexico
Aerosiyusa;;SIY;SIYUSA;Mexico
Aerosmith Aviation;;JPR;JASPER;United States
Aerostar Airlines;;UAR;AEROSTAR;Ukraine
AeroSucre;;KRE;AEROSUCRE;Colombia
Aerosud Aviation;;SYT;SKYTRACK;South Africa
Aerosud Charter;;MDX;MEDAIR;South Africa
Aerosun International;;ASI; Inc.;AEROSUN
Aerosuper;;SUP;AEROSUPER;Mexico
Aerosur;5L;RSU;AEROSUR;Bolivia
Aerosvit Airlines;VV;AEW;AEROSVIT;Ukraine
AeroTACA;;ATK;AEROTACA;Colombia
Aerotal Aerolineas Territoriales de Colombia Ltda;;ART;AEROTAL;Colombia
Aerotaxi;;ITE;AEROTAXI;Czech Republic
Aerotaxi del Cabo;;CBO;TAXI CABO;Mexico
Aerotaxi Del Valle;;AOX;AEROVALLE;Colombia
Aerotaxi Grupo Tampico;;GTP;GRUPOTAMPICO;Mexico
Aerotaxi Mexicano;;MXO;MAXAERO;Mexico
Aerotaxi Villa Rica;;VRI;VILLARICA;Mexico
Aerotaxis Albatros;;BTS;AEROLINEAS ALBATROS;Mexico
Aerotaxis Alfe;;TXF;ALFE;Mexico
Aerotaxis Cimarron;;IMN;TAXI CIMARRON;Mexico
Aerotaxis de Aguascalientes;;GUA;AGUASCALIENTES;Mexico
Aerotaxis De La Bahia;;BHC;BAHIA;Mexico
Aerotaxis del Noroeste;;TXD;TAXI OESTE;Mexico
Aerotaxis Dosmil;;DML;;Mexico
Aerotaxis Guamuchil;;GMM;AEROGUAMUCHIL;Mexico
Aerotaxis Latinoamericanos;;LTI;LATINO;Mexico
Aerotaxis Metropolitanos;;MTB;AEROMETROPOLIS;Mexico
Aerotec;;AEP;AEROTEC;Spain
Aerotours Dominicana;;ATD;AEROTOURS;Dominican Republic
Aerotrans;;CDU;;Russia
Aerotrans Airline;;ATG;BACHYT;Kazakhstan
Aerotrans Airlines;;AED;;Russia
Aerotranscolombina de Carga;;TCO;TRANSCOLOMBIA;Colombia
Aerotransporte de Carga Union;;TNO;AEROUNION;Mexico
Aerotransporte Petrolero;;PET;AEROPETRO;Colombia
Aerotransportes Corporativos;;CRP;AEROTRANSCORP;Mexico
Aerotransportes Huitzilin;;HUT;AEROHUITZILIN;Mexico
Aerotransportes Internacionales De Torreon;;RRE;AERO TORREON;Mexico
Aerotransportes Privados;;PRI;AEROPRIV;Mexico
Aerotransportes Privados;;PVA;TRANSPRIVADO;Mexico
Aerotransportes Rafilher;;RFD;RAFHILER;Mexico
Aerotrebol;;TBL;AEROTREBOL;Mexico
Aerotropical;;TOC;TROPICMEX;Mexico
Aero-Tropics Air Services;HC;ATI;;Australia
Aerotucan;;RTU;AEROTUCAN;Mexico
Aerotur-Air;;RAI;DIASA;Kazakhstan
Aeroturquesa;;TQS;AEROTURQUESA;Mexico
Aerovallarta;;ALL;VALLARTA;Mexico
Aerovaradero;;AVY; S.A.;AEROVARADERO
Aerovega;;VEG;AEROVEGA;Mexico
Aeroventas;;AEV;AEROVENTAS;Mexico
Aerovias Bueno;;ABU;AEROBUENO;Colombia
Aerovias Caribe;;CBE;AEROCARIBE;Mexico
Aerovias Castillo;;CLL;AEROCASTILLO;Mexico
Aerovias DAP;;DAP;DAP;Chile
Aerovias De Lagos;;LAG;AEROLAGOS;Mexico
Aerovias del Golfo;;GFO;AEROVIAS GOLFO;Mexico
Aerovias Ejecutivas;;OVI;VIAS EJECUTIVAS;Mexico
Aerovias Montes Azules;;MZL;MONTES AZULES;Mexico
Aerovic;;OVC;;Ecuador
Aerovilla;;VVG;AEROVILLA;Colombia
Aerovis Airlines;;VIZ;AEROVIZ;Ukraine
Aerovista Airlines;;AAP;AEROVISTA GROUP;United Arab Emirates
Aerovista Gulf Express;;VGF;VISTA GULF;United Arab Emirates
Aerovitro;;VRO;AEROVITRO;Mexico
Aerovuelox;;VUO;AEROVUELOX;Mexico
Aeroway;;AWY; S.L.;AEROWEE
AeroWorld ;W4;WER;sovet;Russia
Aeroxtra;;RXT;AERO-EXTRA;Mexico
Aeroynamics Malaga;;DNC;FLYINGOLIVE;Spain
Aex Air;;DST;DESERT;United States
AF-Air International;;FAN;FANBIRD;Angola
Afit;;KIE;TWEETY;Germany
Afra Airlines;;UAG;AFRALINE;Ghana
Africa Air Links;;AFK;AFRICA LINKS;Sierra Leone
Africa Airlines;;GIZ;AFRILENS;Guinea
Africa Chartered Services;;AFY;AFRICA CHARTERED;Nigeria
Africa Freight Services;;AFZ;AFREIGHT;Zambia
Africa One;;AZL;SKY AFRICA;Zambia
Africa One;;CFR;;Democratic Republic of the Congo
Africa West;FK;WTA;WEST TOGO;Togo
Afric'air Express;;AAX;AFREX;Ivory Coast
Africair Service;;FFB;FOXTROT FOXTROT;Senegal
African Airlines;;FDA;AIR SANKORE;Mali
African Airlines International Limited;;AIK;AFRICAN AIRLINES;Kenya
African Business and Transportations;;ABB;AFRICAN BUSINESS-;Democratic Republic of the Congo
African Company Airlines;;FPY;AFRICOMPANY;Democratic Republic of the Congo
African Express Airways;;AXK;EXPRESS JET;Kenya
African International Airways;;AIN;FLY CARGO;Swaziland
African International Transport;;GIL;AFRICAN TRANSPORT;Guinea
African Medical and Research Foundation;;FDS;FLYDOC;Kenya
African Safari Airways;QS;QSC;ZEBRA;Kenya
African Star Airways (PTY) Ltd.;;ASG;AFRICAN STAR;South Africa
African Transport Trading and Investment Company;ML;;;Sudan
African West Air;;AFC;AFRICAN WEST;Senegal
Africaone;;AFI;AFRICAWORLD;Uganda
Afrijet Airlines;;FRJ;AFRIJET;Nigeria
Afrika Aviation Handlers;;FRK;AFRIFAST;Kenya
Afrinat International Airlines;Q9;AFU;;Gambia
Afriqiyah Airways;8U;AAW;AFRIQIYAH;Libya
Afrique CArgo Service Senegal;;NFS;;Senegal
Afrique Chart'air;;FRQ;CHARTER AFRIQUE;Cameroon
